release_speed,spin_axis,delta_home_win_exp
87.2,198.0,0.0
77.9,260.0,0.02
84.2,76.0,0.0
92.3,157.0,0.0
75.1,61.0,0.0
89.7,199.0,0.0
86.7,132.0,0.038
92.3,209.0,0.0
94.6,204.0,0.0
91.6,209.0,0.0
84.2,137.0,0.035
81.1,28.0,0.0
90.1,212.0,0.0
82.6,149.0,0.0
90.1,230.0,0.0
82.4,65.0,0.017
92.8,207.0,-0.046
87.8,210.0,0.0
82.2,30.0,-0.0139999999999999
90.0,150.0,0.0
83.1,123.0,0.0
95.0,206.0,0.0
90.7,255.0,-0.057
86.2,212.0,0.0
87.1,134.0,0.131
95.0,131.0,0.0
88.0,176.0,-0.0139999999999999
90.2,187.0,0.0139999999999999
91.2,205.0,-0.026
86.4,113.0,0.0
73.2,322.0,0.0
91.2,274.0,0.0
93.2,195.0,0.001
87.3,152.0,0.0
94.8,201.0,-0.109
88.2,193.0,-0.036
91.6,240.0,-0.024
90.1,140.0,0.011
89.8,157.0,0.0
95.8,232.0,0.0
94.5,204.0,0.0
92.7,243.0,-0.031
86.7,106.0,0.0
80.9,73.0,0.0
71.7,276.0,0.0
87.8,186.0,0.0
77.5,42.0,0.0
89.2,147.0,-0.025
79.3,67.0,0.0
94.7,212.0,-0.111
83.0,145.0,0.02
85.3,156.0,-0.0409999999999999
94.8,245.0,0.0
83.7,96.0,0.017
81.5,296.0,0.0
90.6,132.0,0.0
92.5,140.0,0.0
90.7,203.0,-0.003
95.4,196.0,0.0
94.1,247.0,0.075
90.0,210.0,0.0
92.9,198.0,0.0
95.9,200.0,0.0
88.0,223.0,0.003
85.8,34.0,0.0
92.2,216.0,-0.035
90.5,189.0,-0.035
89.9,217.0,0.0
94.1,173.0,0.0
78.6,316.0,0.0
92.9,255.0,0.0
94.0,155.0,0.0
93.0,247.0,0.0
93.0,113.0,0.052
92.1,208.0,0.036
90.0,222.0,0.0
86.2,133.0,0.0
92.6,197.0,0.0
94.4,212.0,0.0
92.2,154.0,0.038
90.6,174.0,0.0
79.6,125.0,0.0
93.4,244.0,0.0
93.8,230.0,0.0279999999999999
75.5,39.0,0.0
80.3,320.0,0.045
84.5,252.0,0.0
94.5,180.0,0.0
96.6,221.0,0.0
95.6,186.0,0.0
72.9,37.0,0.0
81.2,62.0,0.0
88.4,145.0,0.0
94.4,232.0,0.0
90.2,118.0,0.0
95.3,226.0,0.012
95.9,235.0,0.0
82.8,94.0,0.0
88.7,201.0,0.0
80.7,87.0,0.0
96.5,175.0,0.0
81.8,90.0,0.0
94.4,232.0,0.0
90.9,164.0,-0.022
91.1,141.0,0.0
93.7,216.0,0.026
96.8,214.0,0.0
84.0,87.0,0.0
91.7,246.0,0.021
94.6,207.0,-0.006
92.2,213.0,-0.008
93.5,232.0,0.0
95.7,196.0,0.0
89.5,215.0,0.0
78.7,22.0,0.0
81.0,59.0,0.0
94.3,216.0,0.0
80.3,344.0,0.0
93.9,189.0,0.001
89.7,211.0,0.0
92.1,248.0,0.01
90.8,215.0,0.0
90.9,142.0,0.1
80.0,270.0,0.0
83.0,99.0,0.0
77.0,141.0,0.0
91.6,191.0,0.0
79.6,120.0,0.0
88.8,203.0,0.0
88.3,101.0,0.0
90.8,199.0,0.05
83.3,110.0,0.0
97.2,160.0,0.0
95.7,215.0,0.0
90.3,127.0,-0.0289999999999999
96.0,159.0,0.0
84.5,77.0,0.0
91.2,92.0,0.011
78.5,58.0,0.0
95.7,174.0,0.0
95.4,208.0,0.0
75.6,63.0,0.0
95.9,209.0,-0.108
89.5,119.0,-0.017
78.9,233.0,0.006
76.7,28.0,0.0
92.5,225.0,0.0
85.2,111.0,0.0
91.9,206.0,0.0
90.5,211.0,-0.001
89.9,212.0,0.0
83.7,234.0,0.0
90.0,249.0,0.06
82.4,228.0,0.0
91.4,264.0,-0.038
95.8,228.0,0.0
92.2,208.0,0.0
80.5,94.0,-0.015
84.7,72.0,0.0
92.2,182.0,0.0
94.4,173.0,-0.0069999999999999
82.0,69.0,0.0
89.5,202.0,0.0
84.3,61.0,0.0
91.9,212.0,0.0
85.5,242.0,0.022
88.8,134.0,-0.019
79.8,287.0,0.0
94.1,190.0,0.0
80.7,251.0,-0.03
81.6,277.0,0.0
94.2,205.0,-0.005
85.8,109.0,0.0
77.3,330.0,0.0
90.5,164.0,0.0
96.0,240.0,0.0
90.1,228.0,0.0
91.7,169.0,0.0
87.0,185.0,0.0
77.2,93.0,0.0
93.8,156.0,0.0
96.8,207.0,0.0
91.4,53.0,0.0
83.7,252.0,0.001
78.2,304.0,-0.039
86.0,72.0,0.0
76.7,93.0,0.0
86.0,114.0,0.0
82.5,259.0,0.0
80.4,82.0,-0.018
84.7,72.0,0.0
89.9,174.0,0.001
88.3,253.0,0.052
95.7,211.0,0.0
84.1,252.0,0.0
93.6,242.0,0.0
